insult,acceptat,temps
insult0,True,0.0
insult1,True,0.0
insult2,True,0.0
insult3,True,0.0
insult4,True,0.0
insult5,True,0.0
insult6,True,0.0
insult7,True,0.0
insult8,True,0.0
insult9,True,0.0
insult10,True,0.0
insult11,True,0.0
insult12,True,0.0
insult13,False,0.0
insult14,True,0.0
insult15,True,0.0
insult16,True,0.0
insult17,True,0.0
insult18,True,0.0
insult19,True,0.0
insult20,True,0.0
insult21,True,0.0
insult22,True,0.0
insult23,True,0.0
insult24,True,0.0
insult25,True,0.0
insult26,True,0.0
insult27,True,0.0
insult28,True,0.0
insult29,True,0.0
insult30,True,0.0
insult31,True,0.0
insult32,True,0.0
insult33,True,0.0
insult34,True,0.0
insult35,True,0.0
insult36,True,0.0
insult37,True,0.0
insult38,True,0.0
insult39,True,0.0
insult40,True,0.0
insult41,True,0.0
insult42,False,0.0
insult43,True,0.0
insult44,True,0.0
insult45,True,0.0
insult46,True,0.0
insult47,True,0.0
insult48,True,0.0
insult49,True,0.0
insult50,True,0.0
insult51,True,0.0
insult52,True,0.0
insult53,True,0.0
insult54,True,0.0
insult55,True,0.0
insult56,True,0.0
insult57,True,0.0
insult58,True,0.0
insult59,True,0.0
insult60,True,0.0
insult61,True,0.0
insult62,True,0.0
insult63,True,0.0
insult64,True,0.0
insult65,True,0.0
insult66,True,0.0
insult67,True,0.0
insult68,True,0.0
insult69,True,0.0
insult70,True,0.0
insult71,True,0.0
insult72,True,0.0
insult73,True,0.0
insult74,True,0.0
insult75,True,0.0
insult76,True,0.0
insult77,False,0.0
insult78,True,0.0
insult79,True,0.0
insult80,True,0.0
insult81,True,0.0
insult82,True,0.0
insult83,True,0.0
insult84,True,0.0
insult85,True,0.0
insult86,True,0.0
insult87,True,0.0
insult88,True,0.0
insult89,True,0.0
insult90,True,0.0
insult91,True,0.0
insult92,True,0.0
insult93,True,0.0
insult94,True,0.0
insult95,True,0.0
insult96,True,0.0
insult97,True,0.0
insult98,True,0.0
insult99,True,0.0
