insult,resultat,temps
insult0,False,0.0124
insult1,False,0.0114
insult2,False,0.0106
insult3,False,0.0104
insult4,False,0.0094
insult5,False,0.0098
insult6,False,0.0092
insult7,False,0.0097
insult8,False,0.0078
insult9,True,0.0096
insult10,False,0.0032
insult11,False,0.0032
insult12,False,0.0036
insult13,False,0.0021
insult14,False,0.0026
insult15,False,0.0019
insult16,False,0.0024
insult17,True,0.0021
insult18,False,0.0031
insult19,False,0.0029
insult20,False,0.0024
insult21,False,0.0024
insult22,False,0.002
insult23,False,0.0022
insult24,False,0.0035
insult25,False,0.0022
insult26,False,0.0022
insult27,True,0.0018
insult28,False,0.0032
insult29,False,0.0034
insult30,False,0.0029
insult31,False,0.0024
insult32,True,0.0018
insult33,False,0.0035
insult34,True,0.0022
insult35,True,0.0032
insult36,False,0.0011
insult37,False,0.0035
insult38,False,0.0023
insult39,False,0.0027
insult40,False,0.0028
insult41,True,0.0033
insult42,False,0.0024
insult43,False,0.0013
insult44,False,0.0021
insult45,False,0.0028
insult46,False,0.0032
insult47,False,0.0029
insult48,True,0.0019
insult49,False,0.0023
insult50,False,0.0046
insult51,False,0.0028
insult52,False,0.0028
insult53,False,0.0033
insult54,False,0.0018
insult55,False,0.0011
insult56,True,0.0016
insult57,False,0.0035
insult58,False,0.004
insult59,False,0.0035
insult60,False,0.0022
insult61,False,0.002
insult62,False,0.002
insult63,False,0.0023
insult64,True,0.0028
insult65,False,0.0018
insult66,False,0.0038
insult67,True,0.0032
insult68,False,0.0021
insult69,False,0.0029
insult70,False,0.0032
insult71,False,0.002
insult72,False,0.002
insult73,False,0.0022
insult74,False,0.0012
insult75,True,0.0026
insult76,False,0.0024
insult77,False,0.0023
insult78,False,0.0031
insult79,False,0.0042
insult80,True,0.0026
insult81,False,0.0018
insult82,False,0.0022
insult83,True,0.0024
insult84,True,0.0035
insult85,False,0.0023
insult86,False,0.0022
insult87,False,0.002
insult88,False,0.0023
insult89,True,0.0026
insult90,False,0.0021
insult91,False,0.0028
insult92,False,0.0026
insult93,False,0.0023
insult94,False,0.0024
insult95,False,0.0027
insult96,False,0.002
insult97,False,0.0021
insult98,True,0.0015
insult99,True,0.0013
